#word,count
aberrant,1
accidental,1
addition,1
aftermath,1
aggressive,1
agree,1
airplane,1
alarm,1
alert,1
ambitious,1
approve,1
argue,1
attack,1
attend,1
attraction,1
average,1
awesome,1
back,2
bag,1
baseball,1
bashful,1
basin,1
bat,1
bear,1
berserk,1
best,1
birds,1
bit,1
blink,1
brake,1
brash,1
brass,1
brave,1
brawny,1
breathe,1
broad,1
brother,1
button,1
car,1
careful,1
carve,1
challenge,6
chop,1
cloistered,1
committee,1
cool,1
copy,2
count,1
cows,1
crack,2
cracker,2
crime,1
cub,1
curve,2
curved,1
dam,1
decisive,1
defeated,1
defiant,1
delightful,1
detailed,1
different,1
digestion,1
direful,1
disagreeable,1
disapprove,1
disarm,2
dogs,1
doubtful,1
drab,1
dreary,1
dress,1
drum,1
dry,1
educated,1
elfin,2
elite,1
eminent,1
endurable,1
entertaining,1
enthusiastic,1
equal,1
escape,1
excuse,1
exercise,1
exotic,2
expansion,1
explain,1
exuberant,1
faded,1
fall,1
false,1
fang,1
far,1
fear,1
feeling,1
field,1
fill,1
film,1
fold,1
force,1
forgetful,1
fork,1
frighten,1
frog,1
full,1
furry,1
future,22
gabby,2
giants,1
giraffe,1
glow,1
godly,1
gorgeous,1
governor,1
grain,1
grandfather,1
grandiose,2
greedy,1
grieving,1
habitual,1
half,1
hammer,1
hanging,2
heavy,1
highfalutin,1
hilarious,1
hole,1
holistic,1
homeless,1
hope,1
horrible,1
horse,1
hurried,1
ice,1
illegal,1
illustrious,1
impossible,1
income,1
increase,1
intend,2
invent,1
irate,2
itch,1
jaded,1
jail,2
jam,1
jelly,1
juice,1
jump,1
juvenile,1
knit,1
labored,1
lacking,1
laughable,2
lazy,1
leg,1
lethal,1
letters,1
like,1
lively,1
living,1
low,1
magnificent,1
maid,1
marble,2
marked,1
material,1
meek,1
mighty,1
military,1
miscreant,1
mother,1
mourn,1
mundane,1
mute,1
mysterious,1
needless,1
nest,1
nifty,1
noiseless,1
nondescript,1
noxious,1
obscene,1
observant,1
oceanic,1
one,1
painful,1
pale,1
parallel,1
part,1
peace,1
perfect,1
permit,1
pet,1
pink,1
plantation,1
play,2
plough,1
popcorn,1
press,1
pretty,1
price,1
produce,1
profit,1
purple,1
puzzled,1
quarter,1
queen,1
rapid,1
rare,1
ready,1
reason,1
rebel,1
regret,2
reminiscent,1
repair,1
reply,7
report,1
request,1
responsible,4
return,1
rhetorical,1
ritzy,1
rod,1
round,1
route,1
rude,1
rural,1
sassy,1
save,1
screw,2
seal,1
second,1
shave,1
shirt,1
shop,6
shut,1
side,1
silly,1
sister,1
snotty,1
soda,1
sofa,1
sordid,2
sour,1
space,1
sparkle,1
spiders,1
spiffy,1
spiteful,1
sponge,1
spooky,2
squeamish,1
stale,1
station,1
steer,1
stem,1
step,1
stimulating,1
stocking,1
store,2
stove,1
street,1
striped,1
strong,1
subsequent,1
sudden,1
suggest,1
synonymous,1
team,1
tenuous,1
terrify,1
things,1
thunder,11
ticket,2
touch,2
tranquil,1
transport,1
trap,1
treat,1
tremendous,1
turkey,1
twig,1
ugliest,1
umbrella,10
unbecoming,1
unkempt,1
use,1
value,1
vest,1
voiceless,1
volatile,2
volleyball,1
wail,1
walk,1
warm,1
weary,1
wet,2
whirl,1
whisper,1
wild,1
wonder,1
wooden,1
word,1
wrench,1
writer,2
zoom,1
